NP,Sítio,Coleta,Nível,Localização,Técnica de transformação,Matéria-prima,Classe artefatual,Tipo de córtex,Alterações da superfície,Comprimento,Largura,Espessura,Tipo de lascas,Talão,Preparação no talão,Canto ventral do plano de percussão direto,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Preparação,Tipo de instrumento,Base de modificação primária,Quantidade de gumes,Sentido de utilização da lasca
Ant 1.1,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,1 a 2 cm,0 a 1 cm,Lasca de formatação,Linear,Sem preparação,Sem formação de lábio,Pronunciado,4 ou +,Ortogonal,Retilíneo,,,,,,,
Ant 1.2,Barra D’Anta,A1,Superfície,I,Indeterminado,Silexito,Detrito,Inexistente,Sem alteração,1 a 2 cm,1 a 2 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 1.3,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,Lasca cortical,Cortical,Sem preparação,Sem formação de lábio,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 1.4,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,2,Ortogonal,Retilíneo,,,,,,,
Ant 1.5,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,5 a 6 cm,3 a 4 cm,1 a 2 cm,Lasca cortical,Cortical,Sem preparação,Sem formação de lábio,Difuso,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 1.6,Barra D’Anta,A1,Superfície,I,Lascamento bipolar,Silexito,Lasca,Seixo,Sem alteração,4 a 5 cm,2 a 3 cm,1 a 2 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 1.7,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Inexistente,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,3,Paralela,Retilíneo,,,,,,,
Ant 1.8,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,1 a 2 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,Nenhuma,Sem informação,Retilíneo,,,,,,,
Ant 1.9,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,2 a 3 cm,0 a 1 cm,Lasca cortical,Indeterminado,Indeterminado,Indeterminado,Indeterminado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 1.10,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Silexito,Lasca,Seixo,Sem alteração,2 a 3 cm,1 a 2 cm,0 a 1 cm,Lasca cortical,Cortical,Sem preparação,Sem formação de lábio,Pronunciado,1,Uma cicatriz apenas,Retilíneo,,,,,,,
Ant 1.11,Barra D’Anta,A1,Superfície,I,Indeterminado,Quartzito,Detrito,Inexistente,Sem alteração,2 a 3 cm,1 a 2 cm,1 a 2 cm,,,,,,,,,,,,,,,
Ant 1.12,Barra D’Anta,A1,Superfície,I,Lascamento Unipolar,Arenito silicificado,Lasca,Inexistente,Sem alteração,3 a 4 cm,2 a 3 cm,1 a 2 cm,Lasca de debitagem,Indeterminado,Indeterminado,Indeterminado,Indeterminado,3,Paralela,Retilíneo,,,,,,,
