NP,X,Y,Z,Sítio,Quadrícula,Setor,Nível,Numeração,Matéria-prima,Técnica de transformação,Classe artefatual,Estado de preservação,Tipo de córtex,Talão,Forma do bulbo,Preparação no talão,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Tipo de instrumento,Base de modificação primária,Descrição,Tipo de modificação,Extensão,Posição,Morfologia,Delineamento,Ângulo,Localização,Repartição,Padrão de ocorrência,Marcas de uso,Direção micro-lascamentos,Direção das estrias,Localização das marcas de uso
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,CPS,AE1,,0-10,,Silexito,Indeterminada,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,
