sitio,coleta,setor,Nivel,np,tecnica,matprima,classe,estado,cortex,tipolasca,talao,preptalao,ventral,bulbo,nnegativo,dnegativo,tiponucleo,tipoplano,tipoinstrumento,suporte,gumes,sentido,descricao,modificacao,extensao,posicao,delineamento,ângulo,localizacao,reparticao,padrao,marcas,direcaomarcas,direcaoestrias,localizacaomarcas
SC-TA-03,Trincheira 1,Quadrícula C,Nível 4,2241,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 1,Quadrícula C,Nível 4,2241,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 1,Quadrícula C,Nível 4,2241,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 1,Quadrícula C,Nível 4,2241,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 1,Quadrícula C,Nível 4,2241,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 1,Quadrícula C,Nível 4,2241,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 1,Quadrícula C,Nível 4,2241,Indeterminado,Silexito (Grupo I),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,5-10,2242,Indeterminado,Basalto,Detrito,Indeterminado,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,5-10,2242,Indeterminado,Silexito (Grupo I),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Lasca,Completo,Seixo,Lasca cortical,Liso,Sem preparação,Inexistente,Pronunciado,Nenhuma,Sem informação,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Arenito silicificado,Lasca,Fragmentado,Inexistente,Lasca de debitagem,Liso,Sem preparação,Inexistente,Pronunciado,1,Apenas uma cicatriz,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Pré-forma,Fragmentado,Inexistente,,,,,,,,,,Bifacial,Indeterminado,Indeterminado,Indeterminado,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo I),Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Inexistente,Pronunciado,3,Ortogonal,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Lasca,Completo,Indeterminado,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Núcleo,Completo,Indeterminado,,,,,,,,Núcleo com vários planos de percussão em diferentes posições,Acortical liso,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Instrumento,Completo,Seixo,,,,,,,,,,Bifacial,Lasca unipolar,Indeterminado,Indeterminado,,Retoque,Invasor irregular,Bifacial,Convexo,Rasante (0-25),Todo o contorno bifacial,Total,Contínuo,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Lasca,Completo,Inexistente,Lasca de formatação,Linear,Sem preparação,Inexistente,Difuso,2,Paralela,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Inexistente,Difuso,2,Ortogonal,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Lascamento unipolar,Silexito (Grupo II),Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Inexistente,Pronunciado,2,Paralela,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo I),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo I),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo I),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo I),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo I),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo I),Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Detrito,Indeterminado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Detrito,Indeterminado,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
SC-TA-03,Trincheira 2,-,10-20,2243,Indeterminado,Silexito (Grupo II),Lasca,Indeterminado,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,,,,
