Sítio,Coleta,Setor,Nível,Técnica de transformação,Matériaprima,Classe artefatual,Estado de preservação,Tipo de córtex,Tipo de lascas,Talão,Preparação,Canto ventral,Forma do bulbo,Número de cicatrizes,Direção das cicatrizes,Perfil,Tipo de núcleo,Tipo de plataforma de percussão,Tipo de instrumento,Base de modificação primária,Tipo de modificação,Extensão,Posição,Morfologia,Delineamento,Ângulo,Localização,Repartição,Padrão de ocorrência,Marcas de uso,Direção microlascamentos
SCTA19,Quadrícula 1,,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,5 (40 - 50),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de retoque,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,5 (40 - 50),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 3,9 (80 - 90),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 3,9 (80 - 90),Indeterminada,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 3,9 (80 - 90),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 3,9 (80 - 90),Indeterminada,Indeterminada,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 3,5 (40 - 50),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,Setor 3,7 (60 - 70),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Diedro,Sem preparação,Sem lábio,Pronunciado,4 ou +,Ortogonal,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,Liso,Sem preparação,Sem lábio,Difuso,2,Paralela,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Unipolar,Silexito,Lasca,Completo,Inexistente,Lasca de debitagem,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Unipolar,Silexito,Lasca,Fragmentado,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Indeterminada,Silexito,Detrito,Indeterminada,Inexistente,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,4 (30 - 40),Unipolar,Silexito,Núcleo,Completo,Seixo,,,,,,,,,Núcleo unipolar com dois planos de percussão em ângulo,Acortical liso,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
SCTA19,Quadrícula 1,,3 (20 - 30),Sem transformação,Arenito,Bruto,Indeterminada,Plaqueta,,,,,,,,,,,,,,,,,,,,,,,
