TN,X,Y,Z,descricao
TN-001,655893666,6946257349,690019,Terreno
TN-003,655897985,6946258792,690017,Terreno
TN-004,655864383,6946257307,689131,Limite do terreno arado
TN-005,655867414,6946260682,690125,Limite do terreno arado
TN-006,655870490,6946263682,691060,Limite do terreno arado
TN-007,655874635,6946266440,691914,Limite do terreno arado
TN-008,655879973,6946267358,692132,Limite do terreno arado
TN-009,655884780,6946267615,692100,Limite do terreno arado
TN-010,655899707,6946269322,691763,Limite do terreno arado
TN-011,655904360,6946270065,691605,Limite do terreno arado
TN-012,655912130,6946271192,691868,Limite do terreno arado
TN-013,655916689,6946272073,692178,Limite do terreno arado
TN-014,655922426,6946273792,692553,Limite do terreno arado
TN-015,655928804,6946274878,692714,Limite do terreno arado
TN-016,655933423,6946275670,692854,Limite do terreno arado
TN-017,655937424,6946276670,692996,Limite do terreno arado
TN-018,655943908,6946278166,692982,Limite do terreno arado
TN-019,655949028,6946277820,692840,Limite do terreno arado
TN-020,655950105,6946273008,692097,Limite do terreno arado
TN-021,655943153,6946254513,689396,Limite do terreno arado
TN-022,655939871,6946240718,687281,Limite do terreno arado
TN-023,655937655,6946233657,686518,Limite do terreno arado
TN-024,655936162,6946226584,685821,Limite do terreno arado
TN-025,655935784,6946223917,685349,Limite do terreno arado
TN-026,655930283,6946218476,685329,Limite do terreno arado
TN-027,655924359,6946213875,685552,Limite do terreno arado
TN-028,655918891,6946209330,685867,Limite do terreno arado
TN-029,655913356,6946203813,685875,Limite do terreno arado
TN-030,655909211,6946200860,685642,Limite do terreno arado
TN-031,655905223,6946198765,685367,Limite do terreno arado
TN-032,655905197,6946198744,685367,Limite do terreno arado
TN-033,655903805,6946200755,685992,Limite do terreno arado
TN-034,655901139,6946203014,686684,Limite do terreno arado
TN-035,655898594,6946205817,687457,Limite do terreno arado
TN-036,655895582,6946209513,688181,Limite do terreno arado
TN-037,655888700,6946211062,688606,Limite do terreno arado
TN-038,655876485,6946210250,687853,Limite do terreno arado
TN-039,655869874,6946205235,686610,Limite do terreno arado
TN-040,655869518,6946205129,686558,Limite do terreno arado
TN-041,655873777,6946200966,686328,Limite do terreno arado
TN-042,655882028,6946197175,686026,Limite do terreno arado
TN-043,655882082,6946197133,686026,Limite do terreno arado
TN-044,655889296,6946197143,686084,Limite do terreno arado
TN-045,655895330,6946198583,686184,Limite do terreno arado
TN-046,655901074,6946199298,685716,Limite do terreno arado
TN-047,655903839,6946199436,685867,Limite do terreno arado
TN-048,655903720,6946200886,685939,Limite do terreno arado
TN-049,655848500,6946245823,686058,Limite do terreno arado
TN-050,655848503,6946245823,686058,Limite do terreno arado
TN-051,655845286,6946243933,685439,Limite do terreno arado
TN-052,655842677,6946242703,685254,Limite do terreno arado
TN-053,655838622,6946240509,684416,Limite do terreno arado
TN-054,655833625,6946237014,683387,Limite do terreno arado
TN-055,655829249,6946233909,682633,Limite do terreno arado
TN-056,655822359,6946229556,681493,Limite do terreno arado
TN-057,655820233,6946228537,681250,Limite do terreno arado
TN-058,655817535,6946228078,681400,Limite do terreno arado
TN-059,655815825,6946227778,680958,Limite do terreno arado
TN-100,655973256,6946268065,690044,Terreno
TN-101,655967439,6946268802,691279,Terreno
TN-102,655970940,6946261724,689658,Terreno
TN-103,655964560,6946258540,690030,Terreno
TN-104,655970265,6946253025,688636,Terreno
TN-105,655961793,6946249678,688646,Terreno
TN-106,655967373,6946244052,687559,Terreno
TN-107,655975136,6946242554,686390,Terreno
TN-108,655979934,6946250270,686733,Terreno
TN-109,655985009,6946245580,685764,Terreno
TN-110,655993178,6946243320,685221,Terreno
TN-111,656000603,6946239566,685211,Terreno
TN-112,656001277,6946247257,686139,Terreno
TN-113,656006323,6946253869,687420,Terreno
TN-114,656011696,6946259757,688549,Terreno
TN-115,656006277,6946263365,688557,Terreno
TN-116,656004385,6946267729,689512,Terreno
TN-117,656001933,6946271382,690184,Terreno
TN-118,656017559,6946259123,689778,Terreno
TN-119,656015697,6946252050,688443,Terreno
